N° Service;N° Contrat;Date création;Date signature;Type;Projet;Réf commande client;Date activation;Statut Saisie;Etat;Type réseau;Réseau;Opérateur commercial;Technologie;Offre;Actif/passif Ftth;Redevance;Redevance (ancien tarif);Périodicité facturation;GTR;Options;GTR (ancien tarif);FAS;FAR;FAD;PDC 12m;PDC FAS/FAR (hors FAD);PDC totale;Type de pack;Type de GTR;Débit;Engagement (mois);Porte de Collecte;Client final;Adresse;Commune;Code Postal;Code INSEE;Longueur FON (m);Source;Zone Technique
AC017898;GDL-134-23-0001;30/01/2023;30/01/2023;Création (A);;055077-PSE-18759;09/02/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KOESIO NETWORKS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;36;CN001103;PRIMEURS DU SUD EST;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC018026;GDL-507-23-0004;28/02/2023;28/02/2023;Création (A);;427 965;12/04/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;36;CN001050;MELEO;4 Rue des Allobroges;CORBAS;69960;69273;0;COVAGE INFRA;
AC018172;GDL-612-23-0002;29/03/2023;31/03/2023;Création (A);;;26/04/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;NETWO;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;24;CN001396;COTE FRAIS DISTRIBUTION;17 Rue Du Vercors;CORBAS;69960;69273;0;COVAGE INFRA;
AC018286;GDL-507-23-0015;10/05/2023;12/05/2023;Création (A);;;20/06/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;;;960,00 €;360,00 €;1 320,00 €;BPEA 5M/100M_36 mois;;/5M100M;36;CN001050;PLEXY SIGN;48 Rue Vaucanson;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC018458;GDL-077-23-0001;28/06/2023;28/06/2023;Création (A);;KY56911 / ALYON RC2;13/09/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KEYYO;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;;;960,00 €;360,00 €;1 320,00 €;BPEA 5M/100M_36 mois;;/5M100M;36;CN001523;SERPAY;25 Avenue Beauregard;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC018484;GDL-507-23-0022;04/07/2023;04/07/2023;Création (A);;440 285;15/09/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;;;960,00 €;360,00 €;1 320,00 €;BPEA 5M/100M_36 mois;;/5M100M;36;CN001050;DigitBoxing and coall;25 Avenue Beauregard;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC019119;GDL-189-24-0002;23/01/2024;23/01/2024;Création (A);;SAS THE REVIVAL;14/02/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;$240,;;960,00 €;600,00 €;1 560,00 €;BPEA 5M/100M_36 mois;;/5M100M;24;FR019491;SAS THE REVIVAL;2 Rue Colière;CORBAS;69960;69273;0;COVAGE INFRA;
AC019205;GDL-189-24-0004;13/02/2024;13/02/2024;Création (A);;ASLI - ZACM;15/03/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;$240,;;960,00 €;600,00 €;1 560,00 €;BPEA 5M/100M_36 mois;;/5M100M;24;FR019491;ASLI - ZACM;4 Avenue du 24 Août 1944;CORBAS;69960;69273;0;COVAGE INFRA;
AC019780;GDL-004-24-0012;24/07/2024;25/07/2024;Création (A);;244015;04/09/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ADISTA;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;;;960,00 €;360,00 €;1 320,00 €;BPEA 5M/100M_36 mois;;/5M100M;36;CN001308;LES BANQUES ALIMENTAIRES;127 Avenue Franklin Roosevelt;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC019861;GDL-507-24-0016;30/08/2024;02/09/2024;Création (A);;478 647;11/09/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;;;960,00 €;360,00 €;1 320,00 €;BPEA 5M/100M_36 mois;;/5M100M;36;CN001050;PORTUGAULE;Rue du Carreau;CORBAS;69960;69273;0;COVAGE INFRA;
AC020803;GDL-429-25-0001;15/05/2025;16/05/2025;Création (A);;ITM 202505 BPEA HEXAT 42B NAT;17/07/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;IT METRIX;FttO;BPEA;;80,00 €;;Mensuelle;;;;360,00 €;;3 230,00 €;960,00 €;360,00 €;1 320,00 €;BPEA 5M/100M_36 mois;;/5M100M;36;;HEXATRANS;42b Boulevard des Nations;CORBAS;69960;69273;0;COVAGE INFRA;
FO005334;GDL-427-17-0031;09/12/2017;01/12/2017;Création (A);;;18/07/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;METROPOLE DE LYON;Passif;FON IRU;;36,23 €;;Semestrielle;;47,03 €;;2 500,00 €;;;999,18 €;2 500,00 €;3 499,18 €;IRU FON 10 ans;;;276;;DECINES - COLLEGE BRASSENS;17 AVENUE SALVADOR ALLENDE;DECINES CHARPIEU;69150;69275;3845;COVAGE INFRA;
FO005344;GDL-427-17-0034;09/12/2017;01/12/2017;Création (A);;;18/07/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;METROPOLE DE LYON;Passif;FON IRU;;36,23 €;;Semestrielle;;47,03 €;;2 500,00 €;;;999,18 €;2 500,00 €;3 499,18 €;IRU FON 10 ans;;;276;;CORBAS - COLLEGE CASSIN;chemin des Romanettes;CORBAS;69960;69273;5091;COVAGE INFRA;
FO005345;GDL-427-17-0035;09/12/2017;01/12/2017;Création (A);;;24/12/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;METROPOLE DE LYON;Passif;FON IRU;;36,23 €;;Semestrielle;;47,03 €;;2 500,00 €;;;999,18 €;2 500,00 €;3 499,18 €;IRU FON 10 ans;;;276;;DECINES - COLLEGE BASTIE;107-115 rue Emile Zola;DECINES CHARPIEU;69150;69275;247;COVAGE INFRA;
FO005363;GDL-427-17-0062;11/12/2017;01/12/2017;Création (A);;;30/04/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;METROPOLE DE LYON;Passif;FON IRU;;36,23 €;;Semestrielle;;47,03 €;;2 500,00 €;;;999,18 €;2 500,00 €;3 499,18 €;IRU FON 10 ans;;;276;;DECINES - MITTERAND;5 place François Mitterrand;DECINES CHARPIEU;69150;69275;1642;COVAGE INFRA;
FO006431;GDL-546-19-0021;14/05/2019;05/06/2019;Création (A);;;29/11/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;VILLE DE LYON;Passif;FON IRU;;336,38 €;;Annuelle;;94,04 €;;5 000,00 €;;;5 164,97 €;5 000,00 €;10 164,97 €;IRU FON 10 ans;;;120;;LTP Carreau Corbas;4, rue du Carreau;CORBAS;69960;69273;14512;COVAGE INFRA;
FO007169;GDL-053-19-0008;13/12/2019;19/12/2019;Création (A);;;18/03/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FREE PRO;Passif;FON LOC;;628,37 €;;Annuelle;;;;;$2 500,;;7 540,42 €;2 500,00 €;10 040,42 €;LOCATION FON 36 MOIS;;;24;;VIGNAL SYSTEMS;19 AVENUE DU 24 AOUT 1944;CORBAS;69960;69273;13713;COVAGE INFRA;
FO008728;GDL-775-22-0001-1;05/10/2022;18/10/2022;Création (A);;;30/01/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;OLYMPIQUE LYONNAIS GROUPE;Passif;FON LOC;;1 650,00 €;;Mensuelle;;;;;;;19 800,00 €;;19 800,00 €;LOCATION FON 36 MOIS;;;36;;OLYMPIQUE LYONNAIS;10 Avenue Simone Veil;DECINES CHARPIEU;69150;69275;23164;COVAGE INFRA;
FR010083;GDL-002-16-2182A;03/12/2016;06/12/2016;Création (A);;L2L Babolat siège ? Corbas 1Gb;18/04/2017;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FOLIATEAM OPERATEUR;FttO;BPE;;400,00 €;;Mensuelle;;;;;;;4 800,00 €;;4 800,00 €;BPE 1G _Zone dense_12 mois;;1G;12;;Babolat Corbas;1 avenue du 24 Aout 1944;CORBAS;69960;69273;0;COVAGE INFRA;
FR010085;CMD_X_00005291;17/04/2025;18/04/2025;Upgrade (A);;;15/05/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FOLIATEAM OPERATEUR;FttO;BPE;;0,00 €;288,00 €;Mensuelle;30,00 €;;;;;;360,00 €;;360,00 €;BPE 1G _Zone très dense_36 mois;GTR 4H 24/7;1G;36;;Babolat Corbas;1 avenue du 24 Aout 1944;CORBAS;69960;;0;COVAGE INFRA;1
FR010968;GDL-207-17-0297-2;26/01/2024;29/01/2024;Modification de ligne (A);;102017011534/89737 DASIR;03/05/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPE;;250,00 €;;Mensuelle;;;;;;;3 000,00 €;;3 000,00 €;BPE 1G _Zone dense_36 mois;;1G;36;CN001004;DASIR (Dépot Auto Sport Industrie Rhodanien);5 Rue de Catalogne;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR011166;GDL-189-17-0016-1;02/05/2019;02/05/2019;Création (A);;;02/05/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPE;;200,00 €;;Mensuelle;;;;;;;2 400,00 €;;2 400,00 €;BPE 10M _Zone dense_12 mois;;10M;36;;JNC;1 IMPASSE DU RHONE;CORBAS;69960;69273;0;COVAGE INFRA;
FR011523;GDL-207-17-0321;19/07/2017;21/07/2017;Création (A);;102017070193/101339;27/10/2017;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPE;;160,00 €;;Mensuelle;;;;;;;1 920,00 €;;1 920,00 €;BPE 4M _Zone dense_12 mois;;4M;36;CN001004;MAIRIE DE CORBAS;1 place Charles Jocteur;CORBAS;69960;69273;0;COVAGE INFRA;
FR016069;GDL-114-18-0113A;10/03/2018;23/03/2018;Création (A);;99340611-MTR;17/07/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ORANGE BUSINESS SERVICES SA;FttO;BPE;;16,67 €;;Mensuelle;;;;;;;200,04 €;;200,04 €;BPE 100M _Zone dense_12 mois;;100M;12;;DECINES - COLLEGE BRASSENS;17 AVENUE SALVADOR ALLENDE;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR016071;GDL-114-18-0112A;10/03/2018;23/03/2018;Création (A);;99340611-MTR;22/08/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ORANGE BUSINESS SERVICES SA;FttO;BPE;;16,67 €;;Mensuelle;;;;;;;200,04 €;;200,04 €;BPE 100M _Zone dense_12 mois;;100M;12;;DECINES - COLLEGE BASTIE;107-115 rue Emile Zola;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR016075;GDL-114-18-0110A;10/03/2018;23/03/2018;Création (A);;99340611-MTR;17/07/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ORANGE BUSINESS SERVICES SA;FttO;BPE;;16,67 €;;Mensuelle;;;;;;;200,04 €;;200,04 €;BPE 100M _Zone dense_12 mois;;100M;12;;CORBAS - COLLEGE CASSIN;chemin des Romanettes;CORBAS;69960;69273;0;COVAGE INFRA;
FR016078;GDL-114-18-0052B;09/03/2018;23/03/2018;Création (A);;99340611-MTR;04/05/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ORANGE BUSINESS SERVICES SA;FttO;BPE;;16,67 €;;Mensuelle;;;;;;;200,04 €;;200,04 €;BPE 100M _Zone dense_12 mois;;100M;12;;DECINES - MITTERAND;5 place François Mitterrand;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR018029;GDL-142-18-0001;09/10/2018;11/10/2018;Création (A);;Mauffrey 2M BPE;12/04/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FLOW LINE TECHNOLOGIES;FttO;BPE;;80,00 €;;Mensuelle;;;;;;;960,00 €;;960,00 €;BPE 2M _Zone dense_12 mois;;2M;12;;MAUFFREY;11 avenue du 24-août-1944;CORBAS;69960;69273;0;COVAGE INFRA;
FR018136;GDL-234-18-0057;17/10/2018;19/10/2018;Modification de ligne (A);;SITIV Corbas 100Mbps;24/10/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;124,00 €;;Mensuelle;;;;50,00 €;;;1 488,00 €;50,00 €;1 538,00 €;BPE 100M _Zone dense_12 mois;;100M;36;;Sitiv Corbas;PLACE CHARLES-JOCTEUR;CORBAS;69960;69273;0;COVAGE INFRA;
FR020549;GDL-234-19-0037;06/08/2019;07/08/2019;Création (A);;;09/09/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;160,00 €;;Mensuelle;;;;;;;1 920,00 €;;1 920,00 €;BPE 10M _Zone dense_12 mois;;10M;12;CN001268;OREXAD CORBAS;4 rue du Mont Blanc;CORBAS;69960;69273;0;COVAGE INFRA;
FR022379;GDL-234-20-0018-1;24/05/2023;26/05/2023;Création (A);;NE-1715-UX--1;30/05/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;150,00 €;;Mensuelle;;;;;;50,00 €;1 800,00 €;;1 800,00 €;BPE 100M _Zone dense_12 mois;;100M;12;;DEXIS;92 Avenue des Bruyères;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR023811;GDL-134-20-0034-1;12/04/2021;15/04/2021;Création (A);;05-OISEAU BLANC;01/04/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KOESIO NETWORKS;FttO;BPE;;135,00 €;;Mensuelle;;;;;;;1 620,00 €;;1 620,00 €;BPE 10M _Zone dense_36 mois;;10M;48;;05-OISEAU BLANC adapei69;50 RUE NUNGESSER;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR023812;CMD_X_00003077;23/12/2024;27/12/2024;Upgrade (A);;ADAPEI 69 D-2411-42273;31/12/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KOESIO NETWORKS;FttO;BPE;;46,00 €;54,00 €;Mensuelle;;;;;;;552,00 €;;552,00 €;BPE 10M _Zone très dense_36 mois;;10M;48;LyonIX 2;10-GRAND  LARGE ADAPEI69; 216 Rue Marino Simonetti;DECINES CHARPIEU;69150;;0;COVAGE INFRA;1
FR024619;GDL-041-20-0001;04/11/2020;05/11/2020;Création (A);;FSLNK01939;01/12/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FULLSAVE;FttO;BPE;;288,00 €;;Mensuelle;;;;;;;3 456,00 €;;3 456,00 €;BPE 100M _Zone dense_36 mois;;100M;36;;GROUPE ADF;4 Rue Louis Pradel;CORBAS;69960;69273;0;COVAGE INFRA;
FR025069;GDL-443-20-0006-1;08/09/2023;12/09/2023;Création (A);;;22/09/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SYSTAILOR;FttO;BPE;;280,00 €;;Mensuelle;;;;;;;3 360,00 €;;3 360,00 €;BPE 500M _Zone dense_36 mois;;500M;36;;DELTA SERVICE LOCATION;29 Route de Lyon;CORBAS;69960;69273;0;COVAGE INFRA;
FR025569;CMD_X_00004581;06/03/2025;13/03/2025;Upgrade (A);;;03/06/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KOESIO NETWORKS;FttO;BPE;;40,00 €;150,00 €;Mensuelle;;;;50,00 €;;;480,00 €;50,00 €;530,00 €;BPE 200M _Zone très dense_36 mois;;200M;36;CN0001420;L2G;17 Avenue du 24 Août 1944;CORBAS;69960;;0;COVAGE INFRA;1
FR026931;GDL-507-21-0036;10/06/2021;10/06/2021;Modification de ligne (A);;486070;26/08/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPE;;145,00 €;;Mensuelle;30,00 €;;;;;;2 100,00 €;;2 100,00 €;BPE 200M _Zone dense_36 mois;GTR 4H 24/7;200M;36;CN020938;KOPSTER HOTEL;12 AVENUE SIMONE VEIL;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR027383;CMD_X_00004675;12/03/2025;13/03/2025;Upgrade (A);;BF-6471-YH--0;14/03/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;0,00 €;200,00 €;Mensuelle;;;;50,00 €;;;0,00 €;50,00 €;50,00 €;BPE 50M _Zone très dense_36 mois;;50M;36;FR017132;OREXAD BRAMMER SOL 69;33 Avenue Franklin Roosevelt;DECINES CHARPIEU;69150;;0;COVAGE INFRA;1
FR027830;GDL-768-21-0011;13/10/2021;14/10/2021;Création (A);;CO-1007847-1;05/11/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPE;;320,00 €;;Mensuelle;;;;;;;3 840,00 €;;3 840,00 €;BPE 200M _Zone dense_24 mois;;200M;24;;CORETEC CONCEPTION REALISAT;64 Avenue des Bruyères;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR028011;GDL-025-21-0035;04/11/2021;05/11/2021;Création (A);;CEOS00000743936_SVE;24/01/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;COLT TECHNOLOGIES SERVICES;FttO;BPE;;180,00 €;;Mensuelle;30,00 €;;;;;;2 520,00 €;;2 520,00 €;BPE 100M _Zone dense_12 mois;;100M;12;CN001401;ERIKS N.V.;28 Rue Wilson;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR028588;GDL-148-22-0001;12/01/2022;12/01/2022;Création (A);;2060155;26/09/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;GTT Communications France SAS;FttO;BPE;;288,00 €;;Mensuelle;40,00 €;;;;;;3 936,00 €;;3 936,00 €;BPE 100M _Zone dense_36 mois;GTR 4H 24/7;100M;36;;MAHLE AFTERMARKET FRANCE SAS;2bis Rue de Catalogne;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR028710;OXO-184-22-0007;19/01/2022;28/01/2022;Création (A);;CNX_100485;11/04/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;BT FRANCE;FttO;BPE;;320,00 €;;Mensuelle;;;;;;;3 840,00 €;;3 840,00 €;BPE 100M _Zone dense_12 mois;;100M;12;CN001423;FEDERAL EXPRESS CORBAS;83 RUE MARCEL MERIEUX;CORBAS;69960;69273;0;COVAGE INFRA;
FR028813;GDL-025-22-0001;08/02/2022;10/02/2022;Création (A);;CEOS00000754282_OMA;29/03/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;COLT TECHNOLOGIES SERVICES;FttO;BPE;;270,00 €;;Mensuelle;30,00 €;;;;;;3 600,00 €;;3 600,00 €;BPE 1G _Zone dense_36 mois;;1G;36;CN001401;PAACK LOGISTICS CORBAS;32 Rue Colière;CORBAS;69960;69273;0;COVAGE INFRA;
FR028868;GDL-720-22-0003;22/02/2022;24/02/2022;Création (A);;;24/02/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KOESIO NETWORKS;FttO;BPE;;288,00 €;;Mensuelle;;;;;;;3 456,00 €;;3 456,00 €;BPE 100M _Zone dense_36 mois;;100M;36;CN001420;ITAFRAN;23 AVENUE DE L'INDUSTRIE;CORBAS;69960;69273;0;COVAGE INFRA;
FR029089;OXO-184-22-0016;22/03/2022;29/03/2022;Création (A);;CNX_100675;05/05/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;BT FRANCE;FttO;BPE;;180,00 €;;Mensuelle;;;;360,00 €;;;2 160,00 €;360,00 €;2 520,00 €;BPE 10M _Zone dense_36 mois;;10M;36;CN001423;EUROMASTER CORBAS;52 Rue Louis Pradel;CORBAS;69960;69273;0;COVAGE INFRA;
FR029511;GDL-881-22-0001;03/06/2022;03/06/2022;Création (A);;S020622-246;24/06/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CELESTE (ex ST);FttO;BPE;;210,00 €;;Mensuelle;;;;360,00 €;;;2 520,00 €;360,00 €;2 880,00 €;BPE 100M _Zone dense_36 mois;;100M;36;;FRANCE VIANDES;30 Avenue du 24 Août 1944;CORBAS;69960;69273;0;COVAGE INFRA;
FR029887;GDL-710-22-0002;22/07/2022;26/07/2022;Création (A);;FRIGO TRANSPORTS 69 CORBAS;15/11/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;BRETAGNE TELECOM;FttO;BPE;;165,00 €;;Mensuelle;;;;360,00 €;$240,;416,00 €;1 980,00 €;600,00 €;2 580,00 €;BPE 10M _Zone dense_24 mois;;10M;24;;FRIGO TRANSPORTS 69;Rue de la Vanoise;CORBAS;69960;69273;0;COVAGE INFRA;
FR030250;GDL-817-22-0002;08/08/2022;13/09/2022;Création (A);;.;27/10/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;HEXANET;FttO;BPE;;120,00 €;;Mensuelle;;;;;;;1 440,00 €;;1 440,00 €;BPE 20M _Zone dense_36 mois;;20M;36;CN001025;CAMSP de Décines  APAJH;15 AVENUE FRANKLIN ROOSEVELT;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR031073;GDL-466-22-0035;13/10/2022;13/10/2022;Création (A);;PROVIDIS SIEGE;16/11/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;TIMS;FttO;BPE;;72,00 €;;Mensuelle;;;;360,00 €;$240,;;864,00 €;600,00 €;1 464,00 €;BPE 4M _Zone dense_24 mois;;4M;24;;PROVIDIS SIEGE;11 Rue Marcel Mérieux;CORBAS;69960;69273;0;COVAGE INFRA;
FR032003;GDL-223-23-0001;17/01/2023;18/01/2023;Création (A);;LI-588-598;06/02/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ADISTA FINGERPRINT;FttO;BPE;;100,00 €;;Mensuelle;;;;360,00 €;;;1 200,00 €;360,00 €;1 560,00 €;BPE 10M _Zone dense_36 mois;;10M;36;;CHARCUTERIE TRAITEUR SELECTION;7 Avenue de Montmartin;CORBAS;69960;69273;0;COVAGE INFRA;
FR032933;GDL-177-23-0001;17/03/2023;21/03/2023;Création (A);;PR23000096 ALL IN ACADEMY LYON;30/05/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;EQUATION;FttO;BPE;;150,00 €;;Mensuelle;50,00 €;;;600,00 €;;;2 400,00 €;600,00 €;3 000,00 €;BPE 100M _Zone dense_24 mois;GTR 4H 24/7;100M;24;CN021553;ALL IN ACADEMY;13 RUE MARCEAU;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR034548;GDL-234-23-0026;15/06/2023;21/06/2023;Création (A);;FO-9157-PL--0;26/07/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;150,00 €;;Mensuelle;;;;360,00 €;$240,;;1 800,00 €;600,00 €;2 400,00 €;BPE 100M _Zone dense_24 mois;;100M;24;FR017132;DGDDI LYON;12 AVENUE SIMONE VEIL;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR034657;GDL-004-23-0008;26/06/2023;26/06/2023;Création (A);;222820;24/07/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ADISTA;FttO;BPE;;100,00 €;;Mensuelle;;;;;;;1 200,00 €;;1 200,00 €;BPE 10M _Zone dense_36 mois;;10M;36;;STAT Corbas;38 Avenue du 24 Août 1944;CORBAS;69960;69273;0;COVAGE INFRA;
FR037287;GDL-207-23-0008;06/11/2023;06/11/2023;Création (A);;1107190;20/11/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPE;;72,00 €;;Mensuelle;;;;360,00 €;;;864,00 €;360,00 €;1 224,00 €;BPE 5M _Zone dense_36 mois;;5M;36;;APAJH 69 CAMSP DECINES;15 AVENUE FRANKLIN ROOSEVELT;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
FR037638;GDL-234-23-0075;24/11/2023;20/11/2023;Création (A);;RX-9740-QU;17/06/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;150,00 €;;Mensuelle;;;;;;;1 800,00 €;;1 800,00 €;BPE 100M _Zone dense_12 mois;;100M;36;FR017132;MAHLE BEHR FRANCE ROUFFACH S.A.S Site Décines - Aftermarket;6 Rue de Catalogne;DECINES-CHARPIEU;69150;;0;COVAGE INFRA;
FR038015;GDL-234-23-0080;15/12/2023;18/12/2023;Création (A);;GS-0343-RX--1;10/01/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;145,00 €;;Mensuelle;;;;600,00 €;;;1 740,00 €;600,00 €;2 340,00 €;BPE 100M _Zone dense_24 mois;;100M;36;FR017132;RUBIX FRANCE;33 Avenue Franklin Roosevelt;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
FR039373;GDL-945-24-0001;22/02/2024;22/02/2024;Création (A);;47700;29/03/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;NETWORTH TELECOM;FttO;BPE;;145,00 €;;Mensuelle;;;;360,00 €;;;1 740,00 €;360,00 €;2 100,00 €;BPE 100M _Zone dense_36 mois;;100M;36;;Timcod Rhone-Alpes;40 route de Lyon;CORBAS;69960;69273;0;COVAGE INFRA;
FR043918;CMD_X_00001317;27/09/2024;27/09/2024;Création (A);;CA-3735-OO--0;10/10/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPE;;145,00 €;;Mensuelle;;;;360,00 €;;;1 740,00 €;360,00 €;2 100,00 €;BPE 100M _Zone très dense_36 mois;;100M;36;FR017132;G. JACQUEMMOZ ET FILS Corbas;43 Avenue Gabriel Péri;CORBAS;69960;;0;COVAGE INFRA;1
FR044133;GDL-768-24-0003;02/10/2024;03/10/2024;Création (A);;Centreo1382;28/10/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPE;;145,00 €;;Mensuelle;;;;360,00 €;;;1 740,00 €;360,00 €;2 100,00 €;BPE 100M _Zone dense_36 mois;;100M;36;CN001014;COFRULY;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
FR044463;CMD_X_00001891;23/10/2024;24/10/2024;Création (A);;;21/11/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPE;;145,00 €;;Mensuelle;;;;;;;1 740,00 €;;1 740,00 €;BPE 100M _Zone très dense_36 mois;;100M;36;FR019492;TECNIPLAST FRANCE;37 RUE EMILE ZOLA;DECINES;69150;;0;COVAGE INFRA;1
